Tiempo, Temperatura, Humedad, Presion
2024-02-27 15:00:01.446516, 0.0, 72.54, 101.43
2024-02-27 15:00:02.716477, 22.0, 56.93, 100.36
2024-02-27 15:00:03.986487, 22.0, 74.28, 100.65
2024-02-27 15:00:05.259476, 22.0, 47.84, 100.59
2024-02-27 15:00:06.533622, 22.0, 68.75, 100.22
2024-02-27 15:00:07.807734, 22.0, 76.39, 101.57
2024-02-27 15:00:09.080800, 28.0, 51.42, 99.58
2024-02-27 15:00:10.354787, 28.0, 58.16, 99.1
2024-02-27 15:00:11.628855, 26.0, 40.49, 102.88
2024-02-27 15:00:12.901994, 21.0, 66.17, 99.95
2024-02-27 15:00:14.175973, 13.0, 50.93, 100.99
2024-02-27 15:00:15.450029, 10.0, 57.21, 99.6
2024-02-27 15:00:16.724154, 10.0, 53.85, 102.5
2024-02-27 15:00:17.997218, 10.0, 77.69, 101.87
2024-02-27 15:00:19.271218, 10.0, 58.86, 101.71
2024-02-27 15:00:20.545330, 7.0, 59.59, 101.33
2024-02-27 15:00:21.818406, 6.0, 40.06, 100.36
2024-02-27 15:00:23.092408, 7.0, 47.93, 102.83
2024-02-27 15:00:24.366527, 4.0, 49.16, 100.04
2024-02-27 15:00:25.639603, 6.0, 47.41, 100.14
