Tiempo, Temperatura, Humedad, Presion
2024-02-22 12:50:31.067104, 15.64, 60.89, 100.23
2024-02-22 12:50:31.574745, 23.22, 52.33, 99.24
2024-02-22 12:50:32.082835, 12.78, 78.45, 99.16
2024-02-22 12:50:32.590512, 9.38, 58.79, 99.18
2024-02-22 12:50:33.104962, 11.92, 49.21, 100.55
2024-02-22 12:50:33.624192, 14.15, 78.88, 100.43
2024-02-22 12:50:34.137501, 9.49, 65.99, 102.24
2024-02-22 12:50:34.649109, 12.01, 66.64, 101.94
2024-02-22 12:50:35.162993, 12.3, 55.84, 100.33
2024-02-22 12:50:35.678865, 22.16, 52.97, 101.11
