Tiempo, Temperatura, Humedad, Presion
2024-02-27 14:21:30.795808, 18.0, 58.44, 101.18
2024-02-27 14:21:32.067792, 18.0, 45.35, 102.72
2024-02-27 14:21:33.341777, 18.0, 44.09, 101.81
2024-02-27 14:21:34.615854, 18.0, 58.44, 101.22
2024-02-27 14:21:35.890063, 18.0, 75.77, 101.09
2024-02-27 14:21:37.163056, 18.0, 48.29, 102.79
2024-02-27 14:21:38.437167, 18.0, 77.11, 99.98
2024-02-27 14:21:39.711182, 18.0, 72.78, 102.44
2024-02-27 14:21:40.984118, 18.0, 64.35, 100.59
2024-02-27 14:21:42.258197, 18.0, 66.3, 101.54
2024-02-27 14:21:43.532235, 10.0, 77.8, 100.5
2024-02-27 14:21:44.805398, 10.0, 75.3, 102.53
2024-02-27 14:21:46.079406, 10.0, 69.86, 101.06
2024-02-27 14:21:47.353575, 10.0, 43.63, 101.77
2024-02-27 14:21:48.626603, 10.0, 48.82, 99.43
2024-02-27 14:21:49.900605, 10.0, 70.6, 99.05
2024-02-27 14:21:51.174845, 10.0, 74.05, 102.47
2024-02-27 14:21:52.447827, 10.0, 75.82, 102.53
2024-02-27 14:21:53.721726, 10.0, 46.93, 100.03
2024-02-27 14:21:54.995788, 10.0, 67.03, 100.46
2024-02-27 14:21:56.268899, 10.0, 59.85, 101.7
2024-02-27 14:21:57.542812, 10.0, 73.51, 101.76
2024-02-27 14:21:58.816993, 9.0, 79.84, 99.1
2024-02-27 14:22:00.090218, 0.0, 61.58, 101.8
2024-02-27 14:22:01.364027, 0.0, 77.12, 102.55
2024-02-27 14:22:02.638079, 0.0, 58.46, 102.86
2024-02-27 14:22:03.911236, 0.0, 76.58, 102.46
2024-02-27 14:22:05.181399, 0.0, 62.52, 100.68
2024-02-27 14:22:06.455367, 0.0, 69.23, 100.95
2024-02-27 14:22:07.728521, 0.0, 72.61, 100.59
2024-02-27 14:22:09.002360, 0.0, 45.4, 100.34
2024-02-27 14:22:10.276443, 0.0, 74.09, 100.38
2024-02-27 14:22:11.549607, 4.0, 72.6, 99.74
2024-02-27 14:22:12.823664, 20.0, 60.32, 102.33
2024-02-27 14:22:14.097745, 28.0, 73.44, 99.26
2024-02-27 14:22:15.370891, 28.0, 78.17, 99.13
2024-02-27 14:22:16.644958, 28.0, 58.24, 101.4
2024-02-27 14:22:17.919009, 28.0, 55.59, 99.26
2024-02-27 14:22:19.193094, 28.0, 46.16, 101.74
2024-02-27 14:22:20.466130, 28.0, 77.04, 99.5
2024-02-27 14:22:21.740214, 28.0, 64.35, 100.54
2024-02-27 14:22:23.014262, 28.0, 52.54, 100.82
2024-02-27 14:22:24.287362, 28.0, 50.08, 100.14
2024-02-27 14:22:25.561385, 28.0, 71.39, 102.53
2024-02-27 14:22:26.835445, 28.0, 60.37, 99.28
2024-02-27 14:22:28.108503, 28.0, 75.13, 100.63
2024-02-27 14:22:29.382548, 28.0, 52.41, 100.84
2024-02-27 14:22:30.656613, 28.0, 70.25, 100.53
2024-02-27 14:22:31.929679, 28.0, 78.32, 99.2
2024-02-27 14:22:33.203645, 28.0, 49.39, 100.29
2024-02-27 14:22:34.477794, 28.0, 70.07, 102.1
2024-02-27 14:22:35.750863, 28.0, 64.36, 101.91
2024-02-27 14:22:37.024823, 28.0, 59.05, 100.66
